# Time-averaged data for fix myat2
# TimeStep v_longforce
27200 -91.7014
27300 -98.3721
27400 -89.3498
27500 -97.8702
27600 -109.227
27700 -96.0909
27800 -100.462
27900 -93.6662
28000 -95.8441
28100 -107.856
28200 -102.38
28300 -95.7028
28400 -98.8854
28500 -96.5088
28600 -108.21
28700 -104.828
28800 -96.8308
28900 -101.174
29000 -94.6495
29100 -111.919
29200 -107.057
29300 -99.0332
29400 -100.244
29500 -98.9599
29600 -109.21
29700 -110.124
29800 -106.182
29900 -98.8238
30000 -99.9152
30100 -109.384
30200 -108.718
30300 -109.165
30400 -101.613
30500 -103.246
30600 -108.069
30700 -109.363
30800 -111.992
30900 -106.751
31000 -101.622
31100 -111.981
31200 -106.86
31300 -107.837
31400 -111.931
31500 -104.211
31600 -113.292
31700 -111.547
31800 -106.941
31900 -109.16
32000 -111.692
32100 -109.881
32200 -113.33
32300 -108.974
32400 -105.515
32500 -112.06
32600 -118.385
32700 -113.667
32800 -112.397
32900 -109.569
33000 -106.218
33100 -119.706
33200 -115.784
33300 -115.898
33400 -108.205
33500 -112.604
33600 -113.76
33700 -119.561
33800 -114.557
33900 -116.99
34000 -111.819
34100 -115.463
34200 -114.222
34300 -117.218
34400 -115.561
34500 -114.662
34600 -119.658
34700 -117.74
34800 -116.281
34900 -114.083
35000 -119.127
35100 -116.56
35200 -117.594
35300 -121.294
35400 -113.474
35500 -114.164
35600 -122.683
35700 -122.081
35800 -116.054
35900 -124.165
36000 -115.766
36100 -119.578
36200 -118.713
36300 -120.678
36400 -117.124
36500 -120.612
36600 -123.826
36700 -122.003
36800 -120.535
36900 -119.994
37000 -119.232
37100 -120.831
37200 -124.918
37300 -122.674
37400 -121.684
37500 -119.232
37600 -124.992
37700 -122.153
37800 -118.302
37900 -124.984
38000 -121.458
38100 -126.005
38200 -119.264
38300 -124.103
38400 -117.809
38500 -123.44
38600 -128.644
38700 -126.963
38800 -122.243
38900 -121.458
39000 -121.679
39100 -128.945
39200 -124.413
39300 -125.103
39400 -126.151
39500 -122.357
39600 -128.349
39700 -127.537
39800 -127.243
39900 -126.194
40000 -122.499
40100 -129.746
40200 -126.471
40300 -129.381
40400 -123.636
40500 -127.28
40600 -128.614
40700 -128.686
40800 -131.256
40900 -128.664
41000 -124.679
41100 -131.414
41200 -126.33
41300 -127.007
41400 -129.235
41500 -128.013
41600 -135.279
41700 -132.445
41800 -125.031
41900 -130.465
42000 -129.095
42100 -131.528
42200 -129.406
42300 -135.117
42400 -125.717
42500 -128.669
42600 -137.359
42700 -134.12
42800 -132.675
42900 -132.655
43000 -127.948
43100 -133.986
43200 -132.275
43300 -135.68
43400 -132.991
43500 -132.099
43600 -139.263
43700 -135.471
43800 -132.833
43900 -133.843
44000 -133.179
44100 -134.618
44200 -135.515
44300 -136.723
44400 -132.478
44500 -137.478
44600 -138.522
44700 -136.911
44800 -136.744
44900 -138.958
45000 -129.856
45100 -138.916
45200 -136.143
45300 -139.312
45400 -134.385
45500 -138.117
45600 -146.597
45700 -140.333
45800 -137.999
45900 -136.322
46000 -136.378
46100 -139.23
46200 -143.564
46300 -143.593
46400 -134.751
46500 -138.252
46600 -146.382
46700 -144.433
46800 -140.952
46900 -138.891
47000 -137.851
47100 -140.552
47200 -144.349
47300 -144.692
47400 -142.803
47500 -141.712
47600 -147.583
47700 -146.509
47800 -140.921
47900 -144.293
48000 -141.959
48100 -142.163
48200 -148.692
48300 -145.064
48400 -143.229
48500 -144.174
48600 -150.313
48700 -148.408
48800 -145.352
48900 -145.576
49000 -144.579
49100 -145.363
49200 -150.553
49300 -146.76
49400 -144.118
49500 -150.028
49600 -152.592
49700 -148.743
49800 -151.162
49900 -146.61
50000 -145.613
50100 -150.944
50200 -152.825
50300 -149.298
50400 -149.373
50500 -147.884
50600 -152.961
50700 -148.105
50800 -154.216
50900 -151.164
51000 -146.379
51100 -152.625
51200 -154.708
51300 -151.146
51400 -153.166
51500 -151.654
51600 -156.781
51700 -156.816
51800 -149.737
51900 -156.52
52000 -153.225
52100 -152.147
52200 -153.606
52300 -153.842
52400 -155.55
52500 -156.779
52600 -159.086
52700 -152.937
52800 -156.083
52900 -152.696
53000 -155.764
53100 -156.185
53200 -154.995
53300 -155.617
53400 -155.37
53500 -159.489
53600 -161.558
53700 -162.198
53800 -156.765
53900 -156.176
54000 -159.089
54100 -158.727
54200 -158.63
54300 -160.325
54400 -154.587
54500 -158.106
54600 -162.796
54700 -161.164
54800 -166.734
54900 -149.341
55000 -150.977
55100 -140.27
55200 -136.772
55300 -151.149
55400 -154.588
55500 -151.729
55600 -162.435
55700 -143.177
55800 -147.886
55900 -142.729
56000 -145.756
56100 -148.649
56200 -148.237
56300 -142.508
56400 -143.998
56500 -141.02
56600 -152.22
56700 -148.326
56800 -153.296
56900 -143.812
57000 -143.94
57100 -144.485
57200 -148.031
57300 -148.837
57400 -144.599
57500 -148.879
57600 -146.156
57700 -145.941
57800 -148.356
57900 -145.996
58000 -146.902
58100 -139.133
58200 -142.726
58300 -144.972
58400 -145.06
58500 -147.459
58600 -156.604
58700 -142.396
58800 -144.181
58900 -142.482
59000 -144.025
59100 -151.243
59200 -147.799
59300 -145.968
59400 -145.679
59500 -146.406
59600 -156.663
59700 -146.479
59800 -155.289
59900 -144.422
60000 -143.304
60100 -150.549
60200 -151.836
60300 -151.887
60400 -144.489
60500 -151.043
60600 -153.109
60700 -149.024
60800 -152.962
60900 -153.812
61000 -144.628
61100 -147.013
61200 -152.451
61300 -152.317
61400 -150.566
61500 -149.749
61600 -152.509
61700 -152.362
61800 -150.869
61900 -145.557
62000 -145.892
62100 -147.36
62200 -144.174
62300 -139.617
62400 -121.195
62500 -113.003
62600 -101.107
62700 -76.4369
62800 -57.4169
62900 17.6412
63000 32.9212
63100 27.544
63200 13.3125
63300 28.105
63400 -4.61413
63500 -4.0771
63600 -13.191
63700 -10.9377
63800 -1.95457
63900 -6.28288
64000 -7.56585
64100 -21.3708
64200 28.3089
64300 23.3792
64400 13.6892
64500 -6.41279
64600 -5.6974
64700 9.64612
64800 -24.1033
64900 -0.579511
65000 4.58946
65100 -15.4502
65200 6.42647
65300 12.9113
65400 8.04073
65500 10.8357
65600 -7.11342
65700 -10.0749
65800 3.40684
65900 -1.16761
66000 -3.90504
66100 0.501099
66200 -19.4359
66300 1.6224
66400 10.4806
66500 16.1773
66600 12.5631
66700 6.15175
66800 -11.0057
66900 -5.79943
67000 -4.3686
67100 -7.72911
67200 -5.40523
67300 4.58934
67400 7.02065
67500 2.29009
67600 2.57378
67700 4.54393
67800 9.40759
67900 -0.901441
68000 -6.37126
