# Time-averaged data for fix myat1
# TimeStep v_L
87400 51.181
87500 51.181
87600 51.181
87700 51.181
87800 51.181
87900 51.181
88000 51.181
88100 51.381
88200 51.381
88300 51.381
88400 51.381
88500 51.381
88600 51.381
88700 51.381
88800 51.381
88900 51.381
89000 51.381
89100 51.581
89200 51.581
89300 51.581
89400 51.581
89500 51.581
89600 51.581
89700 51.581
89800 51.581
89900 51.581
90000 51.581
90100 51.781
90200 51.781
90300 51.781
90400 51.781
90500 51.781
90600 51.781
90700 51.781
90800 51.781
90900 51.781
91000 51.781
91100 51.981
91200 51.981
91300 51.981
91400 51.981
91500 51.981
91600 51.981
91700 51.981
91800 51.981
91900 51.981
92000 51.981
92100 52.181
92200 52.181
92300 52.181
92400 52.181
92500 52.181
92600 52.181
92700 52.181
92800 52.181
92900 52.181
93000 52.181
93100 52.381
93200 52.381
93300 52.381
93400 52.381
93500 52.381
93600 52.381
93700 52.381
93800 52.381
93900 52.381
94000 52.381
94100 52.581
94200 52.581
94300 52.581
94400 52.581
94500 52.581
94600 52.581
94700 52.581
94800 52.581
94900 52.581
95000 52.581
95100 52.781
95200 52.781
95300 52.781
95400 52.781
95500 52.781
95600 52.781
95700 52.781
95800 52.781
95900 52.781
96000 52.781
96100 52.981
96200 52.981
96300 52.981
96400 52.981
96500 52.981
96600 52.981
96700 52.981
96800 52.981
96900 52.981
97000 52.981
97100 53.181
97200 53.181
97300 53.181
97400 53.181
97500 53.181
97600 53.181
97700 53.181
97800 53.181
97900 53.181
98000 53.181
98100 53.381
98200 53.381
98300 53.381
98400 53.381
98500 53.381
98600 53.381
98700 53.381
98800 53.381
98900 53.381
99000 53.381
99100 53.581
99200 53.581
99300 53.581
99400 53.581
99500 53.581
99600 53.581
99700 53.581
99800 53.581
99900 53.581
100000 53.581
100100 53.781
100200 53.781
100300 53.781
100400 53.781
100500 53.781
100600 53.781
100700 53.781
100800 53.781
100900 53.781
101000 53.781
101100 53.981
101200 53.981
