# Time-averaged data for fix at2
# TimeStep v_fedgeZ f_mysf2[3]
24810 -0.811713 -1.27386
24820 -0.740849 -1.16265
24830 -1.52434 -2.39222
24840 -1.02132 -1.60281
24850 0.479351 0.752265
24860 0.318626 0.500034
24870 -0.712058 -1.11746
24880 -0.485232 -0.761496
24890 -0.178939 -0.280817
24900 -0.874881 -1.37299
24910 -1.03858 -1.62989
24920 -0.46661 -0.732271
24930 -0.637509 -1.00047
24940 -1.047 -1.6431
24950 -0.412965 -0.648084
24960 0.00869672 0.0136481
24970 -0.713877 -1.12032
24980 -1.11232 -1.74562
24990 -0.79007 -1.23989
25000 -0.987409 -1.54958
25010 -1.21356 -1.90449
25020 -0.660199 -1.03608
25030 -0.368244 -0.577901
25040 -0.8738 -1.37129
25050 -0.946405 -1.48523
25060 -0.421795 -0.661941
25070 -0.344988 -0.541404
25080 -0.633205 -0.993716
25090 -0.489345 -0.76795
25100 -0.290714 -0.456229
25110 -0.493907 -0.775109
25120 -0.286868 -0.450194
25130 0.027734 0.0435241
25140 -0.292103 -0.458409
25150 -0.512896 -0.804909
25160 -0.51 -0.800365
25170 -1.07756 -1.69107
25180 -1.69836 -2.66531
25190 -1.33215 -2.0906
25200 -0.677699 -1.06354
25210 -0.919267 -1.44264
25220 -1.18915 -1.86618
25230 -0.839698 -1.31777
25240 -0.913136 -1.43302
25250 -1.31693 -2.06672
25260 -0.779817 -1.2238
25270 -0.25173 -0.39505
25280 -0.604732 -0.949032
25290 -0.661103 -1.0375
25300 -0.243024 -0.381388
25310 -0.402047 -0.630949
25320 -0.729243 -1.14443
25330 -0.248118 -0.389383
25340 0.0635841 0.0997853
25350 -0.654488 -1.02712
25360 -1.0405 -1.63291
25370 -0.624618 -0.980239
25380 -0.605055 -0.949539
25390 -1.06781 -1.67577
25400 -0.725744 -1.13894
25410 -0.141289 -0.221732
25420 -0.642915 -1.00895
25430 -1.19409 -1.87393
25440 -0.776622 -1.21879
25450 -0.410035 -0.643485
25460 -0.641593 -1.00688
25470 -0.456404 -0.716255
25480 -0.153723 -0.241244
25490 -0.559631 -0.878253
25500 -0.815557 -1.27989
25510 -0.30957 -0.485821
25520 -0.263122 -0.412928
25530 -1.03317 -1.62139
25540 -1.07627 -1.68903
25550 -0.408476 -0.64104
25560 -0.396958 -0.622963
25570 -0.875023 -1.37321
25580 -0.717082 -1.12535
25590 -0.618298 -0.970321
25600 -1.18027 -1.85225
25610 -1.36059 -2.13524
25620 -0.909254 -1.42693
25630 -0.822339 -1.29053
25640 -1.11948 -1.75685
25650 -0.980803 -1.53922
25660 -0.809501 -1.27039
25670 -1.05963 -1.66292
25680 -1.13978 -1.7887
25690 -0.94815 -1.48797
25700 -0.987406 -1.54958
25710 -1.01142 -1.58726
25720 -0.686091 -1.07671
25730 -0.488521 -0.766656
25740 -0.540125 -0.847641
25750 -0.680039 -1.06721
25760 -0.571444 -0.896791
25770 -0.55322 -0.868192
25780 -0.727524 -1.14173
25790 -0.825593 -1.29564
25800 -0.766084 -1.20225
25810 -0.473735 -0.743452
25820 -0.369915 -0.580523
25830 -0.922299 -1.4474
25840 -1.45529 -2.28385
25850 -1.24679 -1.95664
25860 -0.821445 -1.28913
25870 -0.993705 -1.55946
25880 -1.06548 -1.6721
25890 -0.628658 -0.986579
25900 -0.358077 -0.561945
25910 -0.519619 -0.815461
25920 -0.467094 -0.73303
25930 -0.428421 -0.67234
25940 -1.20545 -1.89176
25950 -1.72824 -2.7122
25960 -1.37892 -2.164
25970 -1.02948 -1.61561
25980 -1.06485 -1.67112
25990 -0.980647 -1.53897
26000 -0.876939 -1.37622
26010 -1.46514 -2.29931
26020 -1.81924 -2.85502
26030 -1.13437 -1.78021
26040 -0.859531 -1.3489
26050 -1.61973 -2.54192
26060 -1.69804 -2.66481
26070 -0.726316 -1.13984
26080 -0.473564 -0.743184
26090 -1.03111 -1.61816
26100 -1.0371 -1.62756
26110 -0.671135 -1.05324
26120 -0.963734 -1.51243
26130 -1.09448 -1.71761
26140 -0.49433 -0.775773
26150 -0.260967 -0.409546
26160 -0.874447 -1.37231
26170 -1.29479 -2.03198
26180 -1.10731 -1.73774
26190 -1.40362 -2.20277
26200 -1.85426 -2.90997
26210 -1.64709 -2.58484
26220 -1.60598 -2.52034
26230 -2.39112 -3.75249
26240 -2.57766 -4.04523
26250 -1.53914 -2.41544
26260 -1.22619 -1.92431
26270 -2.06582 -3.24197
26280 -2.37425 -3.72601
26290 -2.1079 -3.30801
26300 -2.06614 -3.24249
26310 -1.99474 -3.13043
26320 -1.39504 -2.18929
26330 -0.886356 -1.391
26340 -0.875821 -1.37446
26350 -0.967499 -1.51834
26360 -0.913022 -1.43284
26370 -0.610998 -0.958865
26380 -0.289173 -0.453812
26390 -0.201395 -0.316058
26400 -0.417887 -0.655807
26410 -0.631502 -0.991042
26420 -0.791804 -1.24261
26430 -1.15032 -1.80524
26440 -1.33711 -2.09838
26450 -1.42082 -2.22975
26460 -1.48567 -2.33153
26470 -1.25054 -1.96253
26480 -0.770783 -1.20962
26490 -0.755969 -1.18637
26500 -1.44212 -2.26319
26510 -1.8374 -2.88352
26520 -1.67897 -2.63488
