# Time-averaged data for fix at1
# TimeStep v_zedge v_zrefe
21390 4.45476 0.737525
21400 4.45726 0.737525
21410 4.45976 0.737525
21420 4.46226 0.737525
21430 4.46476 0.737525
21440 4.46726 0.737525
21450 4.46976 0.737525
21460 4.47226 0.737525
21470 4.47476 0.737525
21480 4.47726 0.737525
21490 4.47976 0.737525
21500 4.48226 0.737525
21510 4.48476 0.737525
21520 4.48726 0.737525
21530 4.48976 0.737525
21540 4.49226 0.737525
21550 4.49476 0.737525
21560 4.49726 0.737525
21570 4.49976 0.737525
21580 4.50226 0.737525
21590 4.50476 0.737525
21600 4.50726 0.737525
21610 4.50976 0.737525
21620 4.51226 0.737525
21630 4.51476 0.737525
21640 4.51726 0.737525
21650 4.51976 0.737525
21660 4.52226 0.737525
21670 4.52476 0.737525
21680 4.52726 0.737525
21690 4.52976 0.737525
21700 4.53226 0.737525
21710 4.53476 0.737525
21720 4.53726 0.737525
21730 4.53976 0.737525
21740 4.54226 0.737525
21750 4.54476 0.737525
21760 4.54726 0.737525
21770 4.54976 0.737525
21780 4.55226 0.737525
21790 4.55476 0.737525
21800 4.55726 0.737525
21810 4.55976 0.737525
21820 4.56226 0.737525
21830 4.56476 0.737525
21840 4.56726 0.737525
21850 4.56976 0.737525
21860 4.57226 0.737525
21870 4.57476 0.737525
21880 4.57726 0.737525
21890 4.57976 0.737525
21900 4.58226 0.737525
21910 4.58476 0.737525
21920 4.58726 0.737525
21930 4.58976 0.737525
21940 4.59226 0.737525
21950 4.59476 0.737525
21960 4.59726 0.737525
21970 4.59976 0.737525
21980 4.60226 0.737525
21990 4.60476 0.737525
22000 4.60726 0.737525
22010 4.60976 0.737525
22020 4.61226 0.737525
22030 4.61476 0.737525
22040 4.61726 0.737525
22050 4.61976 0.737525
22060 4.62226 0.737525
22070 4.62476 0.737525
22080 4.62726 0.737525
22090 4.62976 0.737525
22100 4.63226 0.737525
22110 4.63476 0.737525
22120 4.63726 0.737525
22130 4.63976 0.737525
22140 4.64226 0.737525
22150 4.64476 0.737525
22160 4.64726 0.737525
22170 4.64976 0.737525
22180 4.65226 0.737525
22190 4.65476 0.737525
22200 4.65726 0.737525
22210 4.65976 0.737525
22220 4.66226 0.737525
22230 4.66476 0.737525
22240 4.66726 0.737525
22250 4.66976 0.737525
22260 4.67226 0.737525
22270 4.67476 0.737525
22280 4.67726 0.737525
22290 4.67976 0.737525
22300 4.68226 0.737525
22310 4.68476 0.737525
22320 4.68726 0.737525
22330 4.68976 0.737525
22340 4.69226 0.737525
22350 4.69476 0.737525
22360 4.69726 0.737525
22370 4.69976 0.737525
22380 4.70226 0.737525
22390 4.70476 0.737525
22400 4.70726 0.737525
22410 4.70976 0.737525
22420 4.71226 0.737525
22430 4.71476 0.737525
22440 4.71726 0.737525
22450 4.71976 0.737525
22460 4.72226 0.737525
22470 4.72476 0.737525
22480 4.72726 0.737525
22490 4.72976 0.737525
22500 4.73226 0.737525
22510 4.73476 0.737525
22520 4.73726 0.737525
22530 4.73976 0.737525
22540 4.74226 0.737525
22550 4.74476 0.737525
22560 4.74726 0.737525
22570 4.74976 0.737525
22580 4.75226 0.737525
22590 4.75476 0.737525
22600 4.75726 0.737525
22610 4.75976 0.737525
22620 4.76226 0.737525
22630 4.76476 0.737525
22640 4.76726 0.737525
22650 4.76976 0.737525
22660 4.77226 0.737525
22670 4.77476 0.737525
22680 4.77726 0.737525
22690 4.77976 0.737525
22700 4.78226 0.737525
22710 4.78476 0.737525
22720 4.78726 0.737525
22730 4.78976 0.737525
