# Time-averaged data for fix myat2
# TimeStep v_rho_SI v_rho
83000 7.47899 0.00450385
84000 7.47899 0.00450385
85000 7.47899 0.00450385
86000 7.47899 0.00450385
87000 7.47899 0.00450385
88000 7.47899 0.00450385
89000 7.47899 0.00450385
90000 7.47899 0.00450385
91000 7.47899 0.00450385
92000 7.47899 0.00450385
93000 7.47899 0.00450385
94000 7.47899 0.00450385
95000 7.47899 0.00450385
96000 7.47899 0.00450385
97000 7.47899 0.00450385
98000 7.47899 0.00450385
99000 7.47899 0.00450385
100000 7.47899 0.00450385
101000 7.47899 0.00450385
102000 7.47899 0.00450385
103000 7.47899 0.00450385
104000 7.47899 0.00450385
105000 7.47899 0.00450385
106000 7.47899 0.00450385
107000 7.47899 0.00450385
108000 7.47899 0.00450385
109000 7.47899 0.00450385
110000 7.47899 0.00450385
111000 7.47899 0.00450385
112000 7.47899 0.00450385
113000 7.47899 0.00450385
114000 7.47899 0.00450385
115000 7.47899 0.00450385
116000 7.47899 0.00450385
117000 7.47899 0.00450385
118000 7.47899 0.00450385
119000 7.47899 0.00450385
120000 7.47899 0.00450385
121000 7.47899 0.00450385
122000 7.47899 0.00450385
123000 7.47899 0.00450385
124000 7.47899 0.00450385
125000 7.47899 0.00450385
126000 7.47899 0.00450385
127000 7.47899 0.00450385
128000 7.47899 0.00450385
129000 7.47899 0.00450385
130000 7.47899 0.00450385
131000 7.47899 0.00450385
132000 7.47899 0.00450385
133000 7.47899 0.00450385
134000 7.47899 0.00450385
135000 7.47899 0.00450385
136000 7.47899 0.00450385
137000 7.47899 0.00450385
138000 7.47899 0.00450385
139000 7.47899 0.00450385
140000 7.47899 0.00450385
141000 7.47899 0.00450385
142000 7.47899 0.00450385
143000 7.47899 0.00450385
144000 7.47899 0.00450385
145000 7.47899 0.00450385
146000 7.47899 0.00450385
147000 7.47899 0.00450385
148000 7.47899 0.00450385
149000 7.47899 0.00450385
150000 7.47899 0.00450385
151000 7.47899 0.00450385
152000 7.47899 0.00450385
153000 7.47899 0.00450385
154000 7.47899 0.00450385
155000 7.47899 0.00450385
156000 7.47899 0.00450385
157000 7.47899 0.00450385
158000 7.47899 0.00450385
159000 7.47899 0.00450385
160000 7.47899 0.00450385
161000 7.47899 0.00450385
162000 7.47899 0.00450385
163000 7.47899 0.00450385
164000 7.47899 0.00450385
165000 7.47899 0.00450385
166000 7.47899 0.00450385
167000 7.47899 0.00450385
168000 7.47899 0.00450385
169000 7.47899 0.00450385
170000 7.47899 0.00450385
171000 7.47899 0.00450385
172000 7.47899 0.00450385
173000 7.47899 0.00450385
174000 7.47899 0.00450385
175000 7.47899 0.00450385
176000 7.47899 0.00450385
177000 7.47899 0.00450385
178000 7.47899 0.00450385
179000 7.47899 0.00450385
180000 7.47899 0.00450385
181000 7.47899 0.00450385
182000 7.47899 0.00450385
183000 7.47899 0.00450385
184000 7.47899 0.00450385
185000 7.47899 0.00450385
186000 7.47899 0.00450385
187000 7.47899 0.00450385
188000 7.47899 0.00450385
189000 7.47899 0.00450385
190000 7.47899 0.00450385
191000 7.47899 0.00450385
192000 7.47899 0.00450385
193000 7.47899 0.00450385
194000 7.47899 0.00450385
195000 7.47899 0.00450385
196000 7.47899 0.00450385
197000 7.47899 0.00450385
198000 7.47899 0.00450385
199000 7.47899 0.00450385
200000 7.47899 0.00450385
201000 7.47899 0.00450385
202000 7.47899 0.00450385
203000 7.47899 0.00450385
204000 7.47899 0.00450385
205000 7.47899 0.00450385
206000 7.47899 0.00450385
207000 7.47899 0.00450385
208000 7.47899 0.00450385
209000 7.47899 0.00450385
210000 7.47899 0.00450385
211000 7.47899 0.00450385
212000 7.47899 0.00450385
213000 7.47899 0.00450385
214000 7.47899 0.00450385
215000 7.47899 0.00450385
216000 7.47899 0.00450385
217000 7.47899 0.00450385
218000 7.47899 0.00450385
219000 7.47899 0.00450385
220000 7.47899 0.00450385
221000 7.47899 0.00450385
222000 7.47899 0.00450385
223000 7.47899 0.00450385
224000 7.47899 0.00450385
225000 7.47899 0.00450385
226000 7.47899 0.00450385
227000 7.47899 0.00450385
228000 7.47899 0.00450385
229000 7.47899 0.00450385
230000 7.47899 0.00450385
231000 7.47899 0.00450385
232000 7.47899 0.00450385
233000 7.47899 0.00450385
234000 7.47899 0.00450385
235000 7.47899 0.00450385
236000 7.47899 0.00450385
237000 7.47899 0.00450385
238000 7.47899 0.00450385
239000 7.47899 0.00450385
240000 7.47899 0.00450385
241000 7.47899 0.00450385
242000 7.47899 0.00450385
243000 7.47899 0.00450385
244000 7.47899 0.00450385
