# Time-averaged data for fix myat1
# TimeStep v_qtot c_q1 c_q2 c_q3 c_q4
217000 1.11022e-16 0.0196741 0 -0.470224 0.306925
218000 0 0.0190637 0 -0.456886 0.298236
219000 0 0.0185373 0 -0.466796 0.305018
220000 0 0.0281208 0 -0.453392 0.292888
221000 0 0.0222248 0 -0.461644 0.300354
222000 -2.22045e-16 0.0128564 0 -0.453881 0.298302
223000 -1.11022e-16 0.0264733 0 -0.458335 0.296732
224000 0 0.0174599 0 -0.46657 0.305227
225000 1.11022e-16 0.0227181 0 -0.465413 0.302703
226000 0 0.0344421 0 -0.44157 0.282899
227000 -1.11022e-16 0.0148747 0 -0.443095 0.290438
228000 0 0.0151644 0 -0.497544 0.326641
229000 0 0.0163162 0 -0.451384 0.295484
230000 -1.11022e-16 0.0101008 0 -0.466538 0.307658
231000 -2.22045e-16 0.0193307 0 -0.467239 0.305049
232000 -3.33067e-16 0.0217016 0 -0.469213 0.305575
233000 0 0.0222684 0 -0.454223 0.295393
234000 0 0.0193493 0 -0.470592 0.307278
235000 -1.11022e-16 0.0161249 0 -0.471005 0.308628
236000 2.22045e-16 0.0217801 0 -0.47224 0.307567
237000 3.33067e-16 0.0376106 0 -0.444903 0.284065
238000 0 0.00788012 0 -0.456882 0.301961
239000 -3.33067e-16 0.0166438 0 -0.474937 0.311076
240000 1.11022e-16 0.020239 0 -0.457784 0.298443
241000 2.22045e-16 0.0169059 0 -0.45873 0.300185
242000 0 0.00926693 0 -0.465206 0.307048
243000 2.22045e-16 0.0197978 0 -0.46603 0.304088
244000 -2.22045e-16 0.0156264 0 -0.476026 0.312142
